target_id	length	replicate_1	replicate_2	replicate_3	replicate_4
ENSCGRG00015000099	3750	0.74453	0.829383	0.799693	0.797441
ENSCGRG00015000100	13494	0	0	0	0
ENSCGRG00015000101	954	0	0	0	0
ENSCGRG00015000102	474	0	0	0	0
ENSCGRG00015000103	2547	0	0	0	0
ENSCGRG00015000104	802	107.362368	114.83422	111.562433	108.041756
ENSCGRG00015000105	4185	14.37522	15.13965	13.46001	16.11636
ENSCGRG00015000106	1312	6.48556	5.73855	5.98834	6.83336
ENSCGRG00015000107	6840	65.373638	70.766023	68.321438	68.2778
ENSCGRG00015000108	462	0	0	0	0
ENSCGRG00015000109	2295	0	0	0	0
ENSCGRG00015000110	1431	0	0	0.0896722	0
ENSCGRG00015000111	981	0	0	0	0
ENSCGRG00015000112	2231	25.6159	28.0508	27.8998	26.7268
ENSCGRG00015000114	483	0	0	0	0
ENSCGRG00015000115	954	0	0	0	0
ENSCGRG00015000116	1827	146.104272	145.062018	146.612543	152.645786
ENSCGRG00015000117	2527	3.341503	4.107301	3.92748	2.559212
ENSCGRG00015000118	939	0	0	0	0
ENSCGRG00015000119	2738	31.9442	35.5141	35.1979	33.7501
ENSCGRG00015000120	798	0.104385	0	0	0
ENSCGRG00015000121	3961	24.52575	27.661824	25.989578	26.865746
ENSCGRG00015000122	933	0	0	0	0
ENSCGRG00015000124	435	131.977	141.373	122.695	150.49
ENSCGRG00015000125	1158	0	0.305029	0.0584509	0
ENSCGRG00015000126	1362	39.8658	36.617536	37.9697	39.215745
ENSCGRG00015000127	2417	60.6214	62.8639	62.9708	60.0693
ENSCGRG00015000128	459	0	0	0	0
ENSCGRG00015000129	339	13.8447	16.8475	16.5395	18.4954
ENSCGRG00015000131	2283	30.910474	31.93599	29.84809	30.11906
ENSCGRG00015000132	966	0	0	0	0
ENSCGRG00015000134	4130	0	0	0	0
ENSCGRG00015000135	916	1008.54928	994.54337	1035.07709	1037.48025
ENSCGRG00015000136	1190	53.841713	56.008944	57.583931	50.134848
ENSCGRG00015000137	2268	0	0	0.0261566	0.0307587
ENSCGRG00015000138	1091	0.203381	0	0	0
ENSCGRG00015000140	4936	2.92583	2.69194000618305	2.67409	2.67693
ENSCGRG00015000143	3665	26.17919	27.14156	25.99991	29.4849
ENSCGRG00015000144	951	0.32583	0.197473	0.0759214	0.176813
ENSCGRG00015000145	2595	0.0358184	0.0436809	0	0
ENSCGRG00015000146	2871	0.086557	0.185074	0.080473	0.118433
ENSCGRG00015000147	1131	0.323465	0	0.180782	0.351909
ENSCGRG00015000148	936	0	0	0	0.180659
ENSCGRG00015000149	2786	38.99319	42.008485	40.24138	45.3122
ENSCGRG00015000150	1931	10.0346	11.9108	11.5971	11.7403
ENSCGRG00015000151	1110	0	0	0	0
ENSCGRG00015000152	2339	8.71433	8.33736	8.973662	9.664075
ENSCGRG00015000155	471	0	0	0	0
ENSCGRG00015000157	471	0	0	0	0
ENSCGRG00015000158	792	167.796	173.796	174.949	169.561
ENSCGRG00015000160	2100	39.9879	44.0053	44.5564	41.6348
ENSCGRG00015000161	939	0.331547	0.200904	0.309037	0
ENSCGRG00015000162	453	165.955	141.689	152.531	141.842
ENSCGRG00015000164	3130	12.544428	13.519048	13.4294523	13.70524956
ENSCGRG00015000165	2331	1.11815	0.965592	1.16662	1.10364
ENSCGRG00015000166	3589	0	0	0.0174872	0
ENSCGRG00015000167	186	270.931	237.882	250.244	293.556
ENSCGRG00015000169	2581	70.0472	72.0878	75.7906	73.4493
ENSCGRG00015000172	2325	0.166936	0.480048	0.257061	0.209401
ENSCGRG00015000174	3096	0.438341	0.267848	0.537158	0.479931
ENSCGRG00015000175	894	0.354907	0.752142	0.0827237	0.481005
ENSCGRG00015000176	918	3.59154	4.24766	4.38444	3.61746
ENSCGRG00015000178	7179	0	0	0.00759383	0
ENSCGRG00015000179	7023	4.8746	5.2296	5.60143	5.32758
ENSCGRG00015000180	3513	17.111288	17.202855	16.9303403	18.282174
ENSCGRG00015000181	1230	0	0	0	0
ENSCGRG00015000182	744	20.0317	26.1307	20.2069	28.1572
ENSCGRG00015000183	1266	16.502273	16.668477	17.0282	19.3481
ENSCGRG00015000186	981	0	0	0	0
ENSCGRG00015000187	714	0	0	0	0
ENSCGRG00015000188	2394	0.319952	0.358141	0.395052	0.11581
ENSCGRG00015000189	936	0.083248	0.100889	0.310406	0.361318
ENSCGRG00015000190	414	0	0	0	0
ENSCGRG00015000192	2646	0	0	0	0
ENSCGRG00015000193	3160	33.2164	31.520332	33.9645692	33.7431728
ENSCGRG00015000194	1118	0.788946	0.878447	0.612279	0.786461
ENSCGRG00015000197	2463	7.576569	8.684825	7.96581	8.293916
ENSCGRG00015000198	3199	3.215797	4.094503	4.29702	3.310169
ENSCGRG00015000199	1455	0	0	0	0
ENSCGRG00015000200	1203	0	0	0.111329	0
ENSCGRG00015000201	2179	28.499284	29.633492	32.515358	30.488163
ENSCGRG00015000203	1104	1.7356	2.10789	2.48744	1.74246
ENSCGRG00015000205	1875	0	0	0	0
ENSCGRG00015000206	1425	19.1729	19.9236	18.7929	19.4288
ENSCGRG00015000207	1689	0	0	0	0.129362
ENSCGRG00015000208	318	0	0	0	0
ENSCGRG00015000209	2339	12.9044	14.2626	13.3645	16.521
ENSCGRG00015000210	1696	16.1054762	20.5803	21.1359	20.6118
ENSCGRG00015000211	990	0	0	0	0
ENSCGRG00015000212	5679	0.417344	0.459614	0.465381	0.549074
ENSCGRG00015000213	2669	2.50549	2.03427	1.5507	2.03131
ENSCGRG00015000215	5546	7.563599	7.215526	6.719703	7.43658440011966
ENSCGRG00015000217	555	0	0	0	0
ENSCGRG00015000218	2516	11.2175	11.0085	12.3398	11.1497
ENSCGRG00015000220	1064	19.3863	19.0861	21.6217	21.130291
ENSCGRG00015000221	1407	0	0	0	0
ENSCGRG00015000222	939	0.0828866	0.100452	0.0772592	0.269812
ENSCGRG00015000225	2406	0	0	0	0
ENSCGRG00015000227	792	0	0	0	0
ENSCGRG00015000228	3184	0.831394	1.10865	0.702173	0.918224
ENSCGRG00015000229	3093	3.028134	3.775041	3.03641	2.968016
ENSCGRG00015000230	1154	15.769	14.0157	14.5537	14.6001
ENSCGRG00015000231	2097	43.57313	45.125146	42.89116	42.546073
ENSCGRG00015000232	2376	0.379987	0.602019	0.526689	0.554749
ENSCGRG00015000234	1176	0	0	0	0
ENSCGRG00015000235	4226	3.97517	3.93454	4.39889	4.71418
ENSCGRG00015000237	2496	8.66112	8.96227	7.965469	9.25436
ENSCGRG00015000238	957	16.9596	13.8041	17.0868	15.4281
ENSCGRG00015000239	2400	0.132938	0.116259	0.0282595	0.115487
ENSCGRG00015000240	1035	50.9244	58.1063	49.3441	43.1343
ENSCGRG00015000241	1479	5.36824	5.354	5.90088	5.19935
ENSCGRG00015000243	2890	15.318845	17.615718	16.383523	16.085168
ENSCGRG00015000244	1227	0	0	0	0
ENSCGRG00015000245	174	0	0	0	0
ENSCGRG00015000246	945	0	0	0	0
ENSCGRG00015000247	1401	0	0	0	0
ENSCGRG00015000248	2409	0.0265236	0.0653522	0.0246137	0.0575028
ENSCGRG00015000249	192	0	0	0	0
ENSCGRG00015000250	225	12.2695	18.1656	11.4524	6.76232
ENSCGRG00015000252	960	0	0	0	0
ENSCGRG00015000253	2358	0.0986979	0.28405	0.174081	0.201988
ENSCGRG00015000254	2761	3.591734	4.04521	3.6819	4.01003
ENSCGRG00015000255	789	204.003	212.235	182.481	217.754
ENSCGRG00015000256	273	0	0	0	0
ENSCGRG00015000258	2772	40.795018	44.672372	43.969155	43.358771
ENSCGRG00015000259	2183	2.47065	3.02409	3.24421	3.07668
ENSCGRG00015000260	1924	281.502	276.874	286.286	287.911
ENSCGRG00015000262	1553	236.91333	232.74989	240.02392	239.8303
ENSCGRG00015000263	960	0.0402078	0.0974885	0.0749516	0.174581
ENSCGRG00015000265	987	0	0	0	0
ENSCGRG00015000267	2394	0.0644494	0.165788	0.186944	0.0330204
ENSCGRG00015000271	321	177.539	183.464	178.124	174.82
ENSCGRG00015000273	945	0	0	0	0
ENSCGRG00015000274	2388	0.0535745	0.235119	0.174008	0.232269
ENSCGRG00015000276	1074	0	0	0	0
ENSCGRG00015000277	1945	18.864	20.1099	19.835298	21.4927
ENSCGRG00015000279	246	0	0	0	0
ENSCGRG00015000280	2019	25.31059	26.85667	26.33972	26.23539
ENSCGRG00015000281	2367	0.117191	0.0681638	0	0
ENSCGRG00015000282	198	0	0	0	0
ENSCGRG00015000284	5718	12.126794	13.305746	12.12536	12.294154
ENSCGRG00015000285	1260	10.768	11.7931	13.0188	10.9304
ENSCGRG00015000286	957	0	0	0	0
ENSCGRG00015000287	1801	35.087088	37.920874	35.145447	39.220912
ENSCGRG00015000288	3350	82.32882	92.207681	86.446231	86.03082
ENSCGRG00015000289	771	0	0	0	0
ENSCGRG00015000290	2214	0	0	0	0
ENSCGRG00015000291	4751	24.991463	25.882833	27.526604	26.547782
ENSCGRG00015000292	1446	0	0	0	0
ENSCGRG00015000294	1215	7.43134	8.90552	9.77627	9.59076
ENSCGRG00015000295	279	4750.08	4191.19	4608.94	4282.58
ENSCGRG00015000297	957	0	0	0	0
ENSCGRG00015000298	2391	1.71777	1.58253	1.5528	1.71058
ENSCGRG00015000299	4674	14.3313	16.2463	14.3424	14.5701
ENSCGRG00015000300	684	0	0.317232	0.245846	0.426118
ENSCGRG00015000301	3927	0.355062	0.301575	0.402449	0.337741
ENSCGRG00015000303	1023	0	0	0.0687788	0
ENSCGRG00015000306	198	0	0.0306587	0	0
ENSCGRG00015000307	1994	79.9381	81.4783	83.7747	85.4791
ENSCGRG00015000308	2391	0.265053	0.258909	0.369714	0.260936
ENSCGRG00015000309	396	0	0	0	0
ENSCGRG00015000310	2394	0.14028	0.112859	0.421394	0.21364
ENSCGRG00015000311	2337	0.164392	0.401446	0.253702	0.297425
ENSCGRG00015000312	4151	50.6876	55.1371	56.869532	54.822724
ENSCGRG00015000313	981	0	0	0	0
ENSCGRG00015000314	1401	0	0	0	0
ENSCGRG00015000315	2142	0.0300055	0	0.0381274	0
ENSCGRG00015000316	960	0.0402078	0	0	0
ENSCGRG00015000317	888	2.59747	2.06069	2.58861	2.13623
ENSCGRG00015000318	3114	0.0472942	0.0577694	0	0
ENSCGRG00015000319	1365	0.102074	0.0621142	0	0.0556326
ENSCGRG00015000320	2133	0.0301494	0.110386	0.0560817	0.032962
ENSCGRG00015000321	3905	0	0.0190041	0	0.0170568
ENSCGRG00015000322	921	0	0	0.0793559	0.184683
ENSCGRG00015000323	1326	0	0	0	0
ENSCGRG00015000324	930	0	0	0	0.182245
ENSCGRG00015000325	939	0.165773	0.100452	0.231778	0.269812
ENSCGRG00015000326	2274	0.757145	1.1297	0.834519	1.0427
ENSCGRG00015000327	3164	26.270283	29.0851	27.94131	27.995801
ENSCGRG00015000328	1526	7.08578	9.55395	8.70962	9.2382
ENSCGRG00015000329	726	0.37592	0.159728	0.121185	0.136509
ENSCGRG00015000330	1960	0.2267905	0.519955	0.308927	0.1597519
ENSCGRG00015000331	2544	0.417072	0.412758	0.14903	0.350017
ENSCGRG00015000332	1464	0	0	0	0
ENSCGRG00015000333	1383	0.349869	0.424736	0.717145	0.38035
ENSCGRG00015000334	948	0	0	0	0
ENSCGRG00015000335	261	0	0	0	0
ENSCGRG00015000336	816	0	0	0	0
ENSCGRG00015000337	714	0.12327	0.148604	0	0
ENSCGRG00015000338	960	0	0	0	0
ENSCGRG00015000339	945	0	0.199172	0.0765853	0
ENSCGRG00015000340	228	0	0	0	0
ENSCGRG00015000341	198	0	0	0	1.51343
ENSCGRG00015000342	3005	31.66839	30.55845	32.76796	33.40932
ENSCGRG00015000343	2031	25.8672	26.9199	27.6466	25.3001
ENSCGRG00015000344	2700	47.132029	49.75122	50.121199	48.784026
ENSCGRG00015000345	396	4.66269	3.56768	5.5848	4.28977
ENSCGRG00015000347	2877	0	0.0527577	0	0
ENSCGRG00015000348	765	160.408	162.025	164.171	160.702
ENSCGRG00015000350	342	0	0	0	0
ENSCGRG00015000351	939	0	0	0	0
ENSCGRG00015000352	2394	1.97569	1.65754	1.69495	1.88237
ENSCGRG00015000353	2334	1.57572	1.29669	1.59545	1.34034
ENSCGRG00015000354	951	0	0	0	0
ENSCGRG00015000356	2394	3.53384	4.29398	4.14407	3.82749
ENSCGRG00015000357	1479	0.138834	0	0.301505	0
ENSCGRG00015000358	807	0	0	0.0957829	0
ENSCGRG00015000359	930	0	0	0	0.0911227
ENSCGRG00015000361	366	0	0	0	0
ENSCGRG00015000362	1597	121.802	124.705	123.751	127.086
ENSCGRG00015000364	999	0	0	0	0
ENSCGRG00015000365	1020	0.0740977	0	0	0.0805062
ENSCGRG00015000366	168	0	0	0	0
ENSCGRG00015000368	1422	0	0.118192	0.0903661	0.105861
ENSCGRG00015000370	1395	0	0	0	0
ENSCGRG00015000372	3677	0.0694503	0.042444611	0.04841063	0.34634775
ENSCGRG00015000374	2631	53.9191	59.3701	54.6755	57.7245
ENSCGRG00015000376	213	0	0	0	0
ENSCGRG00015000378	591	16.3108	17.375	18.1605	16.8223
ENSCGRG00015000379	501	24.8338	23.1009	30.5396	33.7368
ENSCGRG00015000380	2153	1.7004	2.80348	2.3583	3.22897
ENSCGRG00015000381	2854	4.5791805	4.60914	3.851861	4.98854
ENSCGRG00015000382	3012	17.9887390169866	20.18135	18.234817	19.58954
ENSCGRG00015000383	941	588.179805	590.63325	606.894371	629.45572
ENSCGRG00015000384	705	0	0	0	0
ENSCGRG00015000385	930	0	0	0	0
ENSCGRG00015000386	198	0	0	0	0.712811
ENSCGRG00015000390	1480	383.6	402.673	377.569	429.687
ENSCGRG00015000391	2608	5.74063	4.887444	5.067991	6.04565
ENSCGRG00015000392	2811	0.8352024	1.00116	0.900395013185	0.9233432238
ENSCGRG00015000395	1278	0	0.0673653	0	0.0603334
ENSCGRG00015000396	1467	0	0	0	0
ENSCGRG00015000397	1884	49.882673	52.650638	51.71641	56.708536
ENSCGRG00015000398	2523	0	0	0	0
ENSCGRG00015000400	426	17.5604	20.9137	29.1429	22.2811
ENSCGRG00015000401	426	10.9515	11.7848	18.0881	8.37557
ENSCGRG00015000403	789	0	0	0	0
ENSCGRG00015000404	4075	9.753522	9.174799	8.341725	9.850396
ENSCGRG00015000405	1798	19.4517	19.8701	20.9306	19.6029
ENSCGRG00015000406	936	0	0	0	0
ENSCGRG00015000407	1349	98.350826	94.584046	97.9041	100.29
ENSCGRG00015000409	1470	0	0	0	0
ENSCGRG00015000411	2064	0	0	0	0
ENSCGRG00015000413	327	0.478705	0.566079	0.450493	0
ENSCGRG00015000415	342	0	0	0	0
ENSCGRG00015000416	7980	13.6542405268	14.821989273	13.9166326128	14.821940478702
ENSCGRG00015000417	1002	395.598	400.796	391.096	405.054
ENSCGRG00015000419	6555	0.858218	0.677367	1.1791764	1.046408
ENSCGRG00015000421	246	0	0	0	0
ENSCGRG00015000422	633	0.148939	0	0	0
ENSCGRG00015000423	8407	4.74875	5.52362	4.752882	4.79693
ENSCGRG00015000426	2279	12.203442	14.115345	11.897905	12.424808
ENSCGRG00015000427	897	0	0	0	0
ENSCGRG00015000428	777	11.5061	11.2755	10.634	9.8617
ENSCGRG00015000429	1134	0	0	0	0
ENSCGRG00015000432	1845	0.213693	0.234352	0.286172	0.427984
ENSCGRG00015000434	1278	0	0	0	0
ENSCGRG00015000435	1362	1.38174	0.934225	1.42922	1.84082
ENSCGRG00015000437	636	0	0	0	0
ENSCGRG00015000440	1879	82.082	76.0838	86.1858	80.5358
ENSCGRG00015000443	2407	1.94936000847044	2.7985000391641	2.6331100148826	2.4463900418055
ENSCGRG00015000444	3789	66.3377	70.1273	71.2017	72.3741
ENSCGRG00015000445	918	0	0	0	0
ENSCGRG00015000447	1337	24.48198	23.92445	22.63623	22.19898
ENSCGRG00015000448	2005	0.0323565	0.118432	0.0902895	0.106091
ENSCGRG00015000449	1386	39.05131	46.49149	41.48359	47.64382
ENSCGRG00015000451	900	0	0	0	0
ENSCGRG00015000452	3685	55.12122	60.86039	58.83612	56.39148
ENSCGRG00015000453	1669	0.440584	0	0.223609	0.218639
ENSCGRG00015000454	2091	0	0.0376343	0	0
ENSCGRG00015000456	1714	187.21829	184.34551	188.24758	196.66852
ENSCGRG00015000457	2138	4.13044	5.277394	4.13431	5.513815
ENSCGRG00015000459	1809	5.42976	5.24355	6.81433	6.70287
ENSCGRG00015000461	1146	0	0	0	0
ENSCGRG00015000462	2903	33.637162	35.52293	35.13251	35.328609
ENSCGRG00015000464	5395	33.9777	35.2149	36.2504	35.7521
ENSCGRG00015000467	4638	9.015907	9.757897089	10.1631657	9.82135758152
ENSCGRG00015000468	5451	0.239614	0.266533	0.384605	0.262688
ENSCGRG00015000469	384	0	0	0	0
ENSCGRG00015000471	378	0	0	0	0
ENSCGRG00015000472	2061	0.0313524	0	0	0
ENSCGRG00015000474	2457	0	0	0	0
ENSCGRG00015000476	2799	0	0	0	0
ENSCGRG00015000477	513	193.08183	209.55404	212.09949	230.73891
ENSCGRG00015000479	9543	63.24341	69.3599	69.67405	69.02341
ENSCGRG00015000481	974	1.34042	1.81652	1.10233	2.22576
ENSCGRG00015000482	3205	0.019188	0.0241715	0	0.0240721
ENSCGRG00015000483	1278	0	0	0	0
ENSCGRG00015000484	993	3.22619	2.60866	3.79426	3.67071
ENSCGRG00015000485	1059	0	0	0	0
ENSCGRG00015000486	6619	8.4393486	9.580582	9.022058	9.184193
ENSCGRG00015000487	2130	170.829	178.189	180.957	180.986
ENSCGRG00015000488	5660	38.370679	38.4198399	39.470712	41.427195
ENSCGRG00015000491	3021	0	0	0	0
ENSCGRG00015000492	3854	0	0	0	0
ENSCGRG00015000493	675	0	0	0	0
ENSCGRG00015000495	4277	4.939258	5.206269	4.799016	5.13851
ENSCGRG00015000496	156	0	0	2.17691	0
ENSCGRG00015000497	4768	11.601086	12.244303108493	11.975077	11.626658
ENSCGRG00015000498	1477	22.9451	19.8703	22.3911	22.1964
ENSCGRG00015000499	699	1203.1803	1150.2128	1163.9535	1114.6523
ENSCGRG00015000501	4077	6.82674	6.93608	6.77165	7.31767
ENSCGRG00015000502	2907	18.0795	19.613	18.1579	20.4218
ENSCGRG00015000503	327	168.923	182.624	182.025	203.048
ENSCGRG00015000504	5304	9.8525	10.6285	10.7911	9.81773
ENSCGRG00015000505	1287	0.1098	0	0.0511164	0.0598106
ENSCGRG00015000506	1576	0.490251	1.20924	0.4888398	0.9113266
ENSCGRG00015000507	4791	186.2678	204.5667	196.4892	197.4035
ENSCGRG00015000508	488	934.999	943.475	957.789	966.776
ENSCGRG00015000509	951	7.98284	10.7623	7.8199	9.01748
ENSCGRG00015000510	717	0	0	0.114297	0
ENSCGRG00015000512	441	0.274556	0	0.51165	0
ENSCGRG00015000514	830	67.9297	70.3406	62.4341	64.8029
ENSCGRG00015000515	906	0.283967	0.226494	0.173265	0.501812
ENSCGRG00015000517	591	20.971	24.7644	23.5932	21.4752
ENSCGRG00015000519	321	0	0	0	0
ENSCGRG00015000520	618	123.978	120.467	117.786	116.899
ENSCGRG00015000521	3630	2.59946	2.64503	2.66564	2.90249
ENSCGRG00015000523	1457	0	0	0	0
ENSCGRG00015000525	825	14.122	11.9049	13.6354	13.1373
ENSCGRG00015000526	3610	0.655214	1.2236300234531	1.21813000514441	0.913353388483903
ENSCGRG00015000527	2766	18.969	21.91361	21.20426	20.714571
ENSCGRG00015000528	1527	0	0.108483	0	0
ENSCGRG00015000531	3007	2.76019	2.236475	2.992559	2.562124
ENSCGRG00015000532	1761	1.01531	0.55017	0.734696	0.94457
ENSCGRG00015000534	2538	0	0	0	0
ENSCGRG00015000536	2001	0.0324307	0.0791348	0.0904968	0.141778
ENSCGRG00015000537	938	204.272	200.089	200.241	208.687
ENSCGRG00015000538	687	0.130814	0	0.244164	0
ENSCGRG00015000539	801	0	0	0	0
ENSCGRG00015000541	1470	12.4012	16.5778	12.4536	13.0179
ENSCGRG00015000542	384	0	0	0	0
ENSCGRG00015000543	2369	46.925936	48.3625	45.291141	48.12663
ENSCGRG00015000544	4030	9.108271	10.061697	9.3600458	10.257166
ENSCGRG00015000546	1449	0	0	0	0
ENSCGRG00015000547	927	0	0	0	0
ENSCGRG00015000548	468	0	0	0	0
ENSCGRG00015000549	1588	42.0842	47.8839	50.4088	50.4837
ENSCGRG00015000551	2889	30.7661	33.9223	32.0552	31.8385
ENSCGRG00015000552	360	0	0	0	0
ENSCGRG00015000553	1282	34.8108	36.3706	37.6001	36.8412
ENSCGRG00015000554	432	0	0	0.265201	0
ENSCGRG00015000555	2541	4.85394	5.74668	5.5266	6.04241
ENSCGRG00015000556	2892	21.4773	20.4063	20.125521	22.074034
ENSCGRG00015000557	312	1.56323	1.8487	1.93957	2.81729
ENSCGRG00015000558	927	0	0	0	0
ENSCGRG00015000559	498	0	0	0	0
ENSCGRG00015000560	2032	158.08	158.628	156.697	157.32
ENSCGRG00015000561	381	57.5164	59.1274	60.9003	74.0976
ENSCGRG00015000562	936	0	0	0	0
ENSCGRG00015000563	930	0	0	0	0
ENSCGRG00015000564	660	0.139333	0	0.130016	0.150107
ENSCGRG00015000567	387	0	0	0	0
ENSCGRG00015000568	2034	23.5532	23.1074	23.4174	24.0395
ENSCGRG00015000569	561	0	0	0.169302	0
ENSCGRG00015000570	3068	110.551219	119.03469	113.04353	120.65011
ENSCGRG00015000571	255	0	0	0	0
ENSCGRG00015000572	534	0	0	0	0
ENSCGRG00015000573	1581	0	0	0	0
ENSCGRG00015000574	3009	0	0	0.0191087	0
ENSCGRG00015000575	1911	0.0706087	0.0430569	0.0328427	0.186816
ENSCGRG00015000576	4440	0.0135236	0.0165413	0.0125686	0
ENSCGRG00015000577	564	0.179983	0.21549	0.335591	0.773143
ENSCGRG00015000580	429	0	0	0	0
ENSCGRG00015000581	960	1.42146	1.30998	1.57508	0.655698
ENSCGRG00015000583	2876	46.3708	50.825	45.6213	51.704
ENSCGRG00015000588	510	0.426416	0.254768	0.397704	0
ENSCGRG00015000589	930	0	0	0	0
ENSCGRG00015000590	3498	39.0089	41.6927	40.1378	40.2973
ENSCGRG00015000591	972	0	0	0	0
ENSCGRG00015000594	288	155.269	129.282	128.71	152.122
ENSCGRG00015000595	471	0	0	0	0
ENSCGRG00015000596	438	0	0	0	0
ENSCGRG00015000597	4611	22.532995	24.3146496	23.3830763812	22.384603436
ENSCGRG00015000599	1919	7.14635	7.26427	7.69233	7.25093
ENSCGRG00015000600	1876	46.951	46.8678	47.8687	45.2274
ENSCGRG00015000603	3987	0	0	0	0
ENSCGRG00015000604	3189	8.326918	8.599564	7.888477	9.614858
ENSCGRG00015000605	384	0	0	0	0
ENSCGRG00015000606	762	0	0	0	0
ENSCGRG00015000607	728	44.6322	43.0057	48.8004	45.8868
ENSCGRG00015000608	933	0	0	0	0
ENSCGRG00015000612	1404	0.0493025	0.0600171	0	0.0537552
ENSCGRG00015000613	675	0	0	0.125474	0
ENSCGRG00015000614	1212	0	0	0	0
ENSCGRG00015000615	5535	0.953923	1.16722	1.15537	1.09281
ENSCGRG00015000616	936	0	0	0	0
